Fecha,Hora,Jornada,Equipo,Especie,Tratamiento,Micrositio,Orientación,Semillas/Hoyo,Protector,Sustrato,Lat,Lng,Golpes,Notas,Foto URL
27/12/2025,12:59:48,hFoDWjxbdbCzFj9rQRh1,Rubén ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,Sí,38.2849883,-0.7586819,1,"",
27/12/2025,12:58:42,hFoDWjxbdbCzFj9rQRh1,Sergio,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2850531,-0.7587576,35,"Junto a piedras , y bajo los espartos",
27/12/2025,12:57:28,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2850223,-0.7586622,20,"Salsolas",
27/12/2025,12:45:41,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,Sí,38.2850485,-0.7587146,13,"Pino muerto",
27/12/2025,12:31:47,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851231,-0.7587339,1,"Conill",
27/12/2025,12:31:18,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851308,-0.7587602,1,"Conill",
27/12/2025,12:31:04,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2851396,-0.7586526,10,"",
27/12/2025,12:30:46,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851381,-0.7587538,1,"Conill",
27/12/2025,12:29:44,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851156,-0.7586059,1,"Conill",
27/12/2025,12:26:55,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851227,-0.7587409,1,"Agujero conill",
27/12/2025,12:26:22,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2850942,-0.7587545,1,"Esparto",
27/12/2025,12:24:24,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851299,-0.7587837,1,"Agujero conejo",
27/12/2025,12:23:29,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Alcorque,Norte,1,No,Sí,38.2851162,-0.758773,1,"Agujero conejos",
27/12/2025,12:21:16,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2851463,-0.7588123,1,"Esparto",
27/12/2025,12:21:10,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2851003,-0.7587019,7,"",
27/12/2025,12:20:51,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.285063,-0.7588224,1,"Esparto",
27/12/2025,12:18:09,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2851265,-0.7588734,1,"Esparto",
27/12/2025,12:17:34,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852822,-0.7589571,1,"Esparto",
27/12/2025,12:13:40,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Este,1,No,No,38.2850688,-0.7587864,1,"Esparto",
27/12/2025,12:13:04,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Este,1,No,No,38.2851627,-0.7586792,1,"Esparto",
27/12/2025,12:12:03,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2851347,-0.7586684,15,"",
27/12/2025,12:09:35,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2850929,-0.7588407,1,"Ephedra",
27/12/2025,12:09:00,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Oeste,1,No,No,38.2850349,-0.7587833,1,"Ephedra",
27/12/2025,12:07:00,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Este,1,No,No,38.2851251,-0.7587301,1,"Esparto",
27/12/2025,12:06:25,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Este,1,No,No,38.285142,-0.758911,1,"Esparto",
27/12/2025,12:04:23,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Este,1,No,No,38.2850919,-0.7588261,1,"Esparto",
27/12/2025,12:03:35,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Oeste,1,No,No,38.2853034,-0.7590555,1,"Esparto",
27/12/2025,11:58:36,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,Sí,38.28538,-0.7583819,22,"",
27/12/2025,11:55:46,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Oeste,1,No,No,38.2855999,-0.7576826,1,"Coronilla",
27/12/2025,11:55:13,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2855934,-0.757682,1,"Coronilla",
27/12/2025,11:51:35,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2856115,-0.7576251,1,"Coronilla",
27/12/2025,11:51:08,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Oeste,1,No,No,38.2855986,-0.757623,1,"Coronilla",
27/12/2025,11:47:23,hFoDWjxbdbCzFj9rQRh1,Sergio,Encina,Pregerminacion 24h,Alcorque,Norte,1,No,No,38.2850751,-0.758308,30,"Junto a piedras ,( todo protegido con ramas secas ) ",
27/12/2025,11:47:12,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2855294,-0.7576891,1,"Salsola",
27/12/2025,11:46:41,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2855374,-0.7576585,1,"Salsola",
27/12/2025,11:44:47,hFoDWjxbdbCzFj9rQRh1,Rubén ,Tetraclinis,Hidropriming,Alcorque,Norte,1,No,Sí,38.2852787,-0.7581271,8,"Montón de piedras ",
27/12/2025,11:44:05,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2855358,-0.7576618,1,"Salsola",
27/12/2025,11:43:36,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Este,1,No,No,38.285589,-0.7576809,1,"Salsola",
27/12/2025,11:39:34,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,Sí,38.2853624,-0.7581121,8,"Montón de piedras",
27/12/2025,11:37:52,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Oeste,1,No,Sí,38.2853394,-0.7575936,1,"Pino",
27/12/2025,11:37:23,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2853345,-0.757597,1,"Pino",
27/12/2025,11:34:18,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852791,-0.7580561,12,"",
27/12/2025,11:34:05,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Sur,1,No,No,38.2852851,-0.7576576,1,"Pino",
27/12/2025,11:33:30,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Oeste,1,No,No,38.2852128,-0.7575819,1,"Pino",
27/12/2025,11:30:46,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2852706,-0.7576442,1,"Pino",
27/12/2025,11:30:21,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2852639,-0.7576385,1,"Pino",
27/12/2025,11:27:50,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2852719,-0.757603,1,"Pino",
27/12/2025,11:26:24,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2853599,-0.7576759,1,"Pino",
27/12/2025,11:25:40,hFoDWjxbdbCzFj9rQRh1,Rubén ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2853087,-0.7580979,6,"",
27/12/2025,11:23:51,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Alcorque,Norte,1,No,No,38.2852231,-0.7577546,1,"Proyecto margallo roto",
27/12/2025,11:23:16,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2851546,-0.7576798,1,"Pino",
27/12/2025,11:21:44,hFoDWjxbdbCzFj9rQRh1,Rubén ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852513,-0.7580622,11,"",
27/12/2025,11:20:38,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,Sí,38.2853035,-0.7578059,1,"Pino",
27/12/2025,11:20:22,hFoDWjxbdbCzFj9rQRh1,Sergio,Tetraclinis,Hidropriming,Alcorque,Norte,1,No,No,38.2851281,-0.7583079,20,"Junto a piedras ",
27/12/2025,11:20:09,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,Sí,38.2852956,-0.7577803,1,"Pino",
27/12/2025,11:16:45,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2852907,-0.7578769,1,"Pino",
27/12/2025,11:16:18,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Muerta,Norte,1,No,No,38.2853071,-0.7578834,1,"Pino",
27/12/2025,11:13:12,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2852714,-0.7579277,1,"Salsola",
27/12/2025,11:12:11,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,No,38.285285,-0.7578821,1,"Salsola",
27/12/2025,11:10:20,hFoDWjxbdbCzFj9rQRh1,Rubén ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2853049,-0.758302,5,"",
27/12/2025,11:05:06,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852732,-0.757955,1,"Esparto ",
27/12/2025,11:05:02,hFoDWjxbdbCzFj9rQRh1,Sergio,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,No,38.2851817,-0.7582766,11,"",
27/12/2025,11:04:24,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852991,-0.7579363,1,"Esparto",
27/12/2025,11:03:27,hFoDWjxbdbCzFj9rQRh1,Sergio,Encina,Pregerminacion 24h,Nodriza Viva,Norte,1,No,No,38.2851455,-0.7582172,11,"",
27/12/2025,11:02:05,hFoDWjxbdbCzFj9rQRh1,Aarón ,Algarrobo,Hidropriming,Nodriza Viva,Este,1,No,No,38.2852532,-0.7579395,1,"Esparto",
27/12/2025,11:01:31,hFoDWjxbdbCzFj9rQRh1,Aarón ,Tetraclinis,Hidropriming,Nodriza Viva,Este,1,No,No,38.2851738,-0.7579853,1,"Esparto",
27/12/2025,10:59:43,hFoDWjxbdbCzFj9rQRh1,Rubén ,Tetraclinis,Hidropriming,Nodriza Viva,Norte,1,No,Sí,38.2852272,-0.7580066,6,"",
